,Name,Sex,Date of Birth,Age,Height (inches),Weight (lb),Class Year,Major,School,"Grade in ""Intro to python""","Grade in ""Intro to Stats""",Final Data Science Grade
30,David Becker,0,1999-07-14,24,71.0,175,2021,UMBC,Computer Science & Engineering,Pass,"""79.7""",77.2
31,Lori Trujillo,1,1992-06-17,31,65.0,140,2014,University of Notre Dame,Computer Science & Engineering,C,"""75.1""",92.2
32,Maxwell Dunn,0,1994-03-16,29,70.0,170,2016,Duke University,Computer Science & Engineering,F,"""95.8""",86.3
33,Kathleen Edwards,1,1997-09-03,26,62.0,115,2019,University of Michigan (boo),Computer Science & Engineering,A,"""74.9""",91.9
34,Michael Garcia,0,2003-04-26,20,71.0,160,2025,University of Notre Dame,Math,,"""91.1""",96.1
35,Mary Jackson,2,1997-03-18,26,64.0,135,2019,University of Nebraska,Computer Science & Engineering,Fail,"""86.2""",84.5
36,Kelly Alvarado,2,2003-03-13,20,63.0,135,2025,University of Nebraska,Math,,"""77.7""",85.4
37,Vincent Mays,0,2002-03-31,21,65.0,135,2024,UMBC,Computer Science & Engineering,Pass,"""81.2""",79.2
38,Holly Noble,2,1992-05-22,31,64.0,155,2014,Purdue,Computer Science & Engineering,B,"""84.0""",80.3
39,Javier Parker,0,2000-09-05,23,69.0,170,2022,Brown University,Computer Science & Engineering,D,"""91.4""",84.8
40,Jermaine Stout,0,1992-04-08,31,66.0,135,2014,University of Notre Dame,Computer Science & Engineering,A,"""83.6""",93.5
41,Laura Nguyen,1,1994-02-18,29,63.0,105,2016,UMBC,Theology,Pass,"""86.6""",86.9
42,Matthew Kelly,2,1993-05-20,30,69.0,150,2015,MIT,Computer Science & Engineering,C,"""76.0""",98.0
43,Henry Maxwell,0,1999-09-02,24,69.0,160,2021,University of Michigan (boo),Computer Science & Engineering,A,"""80.5""",75.7
44,Jessica Torres,2,1995-09-14,28,177.0,150,2017,UMBC,Computer Science & Engineering,Pass,"""86.3""",81.9
45,David Orozco,0,2000-05-23,23,72.0,180,2022,USC,Computer Science & Engineering,F,"""83.3""",86.3
46,Michael Gallagher,0,2003-04-05,20,68.0,170,2025,Holy Cross College,Computer Science & Engineering,C,"""77.5""",92.4
47,Angel Hamilton,1,1996-05-18,27,64.0,135,2018,Brown University,Electrical Engineering,,"""82.1""",82.7
48,Alexis Martin,1,1996-06-23,27,61.0,110,2018,Stanford University,Computer Science & Engineering,D,"""80.9""",74.7
49,Robert Guerrero,0,1992-02-04,31,65.0,150,2014,Holy Cross College,Computer Science & Engineering,B,"""95.2""",79.2
50,Alexis Ballard,2,1994-01-17,29,66.0,155,2016,Harvard University,Computer Science & Engineering,B,"""89.2""",96.2
51,Dennis Lambert,0,1993-04-27,30,70.0,175,2015,Harvard University,Theology,,"""90.6""",82.9
52,Tiffany Ayala,2,2003-02-16,20,64.0,110,2025,Duke University,Computer Science & Engineering,A,"""85.7""",84.8
53,Cody Frost,0,2003-03-16,20,65.0,140,2025,University of Notre Dame,Computer Science & Engineering,B,"""88.5""",90.8
54,Scott Kelly,2,1995-04-09,28,72.0,180,2017,Purdue,Computer Science & Engineering,B,"""89.3""",92.1
55,Sabrina Todd,1,2001-03-04,22,62.0,120,2023,University of Illinois,Computer Science & Engineering,F,"""92.7""",92.3
56,Noah Nicholson,2,2002-08-24,21,69.0,170,2024,Harvard University,Theology,,"""92.6""",69.9
57,Ann Miller,2,1993-08-22,30,69.0,150,2015,University of Florida,Computer Science & Engineering,C,"""93.1""",86.8
58,Robert Johnson,0,2002-03-13,21,68.0,145,2024,USC,Computer Science & Engineering,B,"""82.7""",91.8
59,Sean Kelly,0,1996-03-20,27,70.0,175,2018,UCLA,Computer Science & Engineering,B,"""88.1""",88.8
60,Brandon Davis,0,1994-07-21,29,67.0,140,2016,UMBC,ACMS,,"""81.5""",91.3
61,Jason Burgess,2,2003-03-02,20,,160,2025,USC,Computer Science & Engineering,A,"""85.3""",93.6
62,Catherine Adams,1,1997-04-19,26,64.0,110,2019,University of Illinois,Computer Science & Engineering,B,"""81.2""",98.1
63,David Hansen,0,1994-11-08,29,69.0,160,2016,University of Michigan (boo),Computer Science & Engineering,A,"""83.5""",89.3
64,Zachary Trujillo,2,2000-04-21,23,67.0,160,2022,USC,Computer Science & Engineering,C,"""73.9""",79.5
65,Kim Lawrence,2,1996-01-09,27,,155,2018,University of Florida,Computer Science & Engineering,F,"""88.8""",83.3
66,Tiffany Miller,2,1992-01-04,31,165.0,120,2014,Brown University,Computer Science & Engineering,B,"""88.6""",89.4
67,William Miller,0,2003-07-20,20,66.0,155,2025,UCLA,Math,,"""83.5""",88.3
68,Shannon Evans,0,1995-02-23,28,66.0,150,2017,University of Nebraska,Computer Science & Engineering,Pass,"""92.1""",96.3
69,Matthew Kelly,2,1993-05-20,30,69.0,150,2015,MIT,Computer Science & Engineering,C,"""76.0""",98.0
70,Miranda Wright,1,1997-04-22,26,62.0,105,2019,Purdue,Computer Science & Engineering,B,"""91.3""",78.3
71,Stephanie Jackson,2,2000-02-10,23,,155,2022,University of Nebraska,Computer Science & Engineering,Pass,"""80.9""",94.2
72,John Smith,0,1999-02-11,24,67.0,140,2021,Holy Cross College,Computer Science & Engineering,F,"""82.6""",77.6
73,Susan Ortiz,2,1992-11-23,31,170.0,125,2014,Brown University,Computer Science & Engineering,B,"""77.6""",90.9
74,Chad Scott,2,2003-04-07,20,66.0,165,2025,University of Florida,Theology,,"""87.6""",82.0
75,Ryan Moran,2,2002-03-21,21,68.0,140,2024,UCLA,Computer Science & Engineering,B,"""86.2""",82.4
76,Monique Brown,1,1999-01-26,24,59.0,105,2021,UMBC,Computer Science & Engineering,Pass,"""84.1""",81.8
77,Brian Boyd,0,2000-10-12,23,70.0,155,2022,Michigan State University,Computer Science & Engineering,B,"""95.2""",94.3
78,Kristen Green,1,2002-09-27,21,63.0,125,2024,Purdue,Computer Science & Engineering,C,"""69.7""",82.8
79,James Mccoy,2,2002-10-14,21,69.0,150,2024,University of Florida,Theology,,"""85.0""",88.9
80,Sarah Johnson,2,1998-05-31,25,66.0,130,2020,Marquette University,Computer Science & Engineering,Pass,"""75.4""",88.8
81,Robert Clements,0,1992-05-06,31,67.0,160,2014,University of Wisconsin,Computer Science & Engineering,A,"""74.4""",77.7
82,Lydia Ingram,2,1999-12-29,24,65.0,135,2021,Holy Cross College,Computer Science & Engineering,B,"""83.6""",85.6
83,Colleen Craig,1,2001-01-01,22,67.0,115,2023,University of Michigan (boo),Computer Science & Engineering,B,"""80.2""",76.4
84,Brian Hill,0,1997-03-31,26,69.0,150,2019,Michigan State University,Electrical Engineering,,"""81.6""",79.6
85,Charles Lowe,0,2001-11-28,22,70.0,160,2023,University of Wisconsin,Computer Science & Engineering,B,"""92.3""",75.4
86,Shelley Michael,1,2001-04-26,22,62.0,135,2023,Holy Cross College,Computer Science & Engineering,C,"""83.4""",87.6
87,Kevin Gibson,2,2000-10-05,23,165.0,150,2022,Holy Cross College,Computer Science & Engineering,B,"""83.3""",86.0
88,Timothy Griffith,0,2000-08-29,23,71.0,160,2022,Purdue,Computer Science & Engineering,C,"""84.2""",79.2
89,John Pugh,0,2002-01-17,21,69.0,165,2024,USC,Computer Science & Engineering,B,"""92.4""",84.3
90,Carolyn Mendez,1,1998-09-26,25,65.0,110,2020,St. Joseph's University,Computer Science & Engineering,Pass,"""87.2""",72.6
91,Mary Oliver,1,2003-06-07,20,61.0,115,2025,University of Wisconsin,Computer Science & Engineering,D,"""70.0""",69.8
92,Clifford Wilcox,0,1999-09-24,24,67.0,165,2021,Marquette University,Computer Science & Engineering,Pass,"""88.6""",85.9
93,Robert Thompson,2,1992-03-09,31,67.0,150,2014,Michigan State University,Computer Science & Engineering,B,"""83.3""",80.9
94,Scott Jones,0,1992-04-27,31,65.0,160,2014,University of Florida,Computer Science & Engineering,F,"""74.6""",76.9
95,Evelyn Davis,1,1996-01-05,27,61.0,105,2018,Purdue,Computer Science & Engineering,D,"""83.8""",84.8
96,Gregory Ward,0,1996-04-10,27,65.0,150,2018,Brown University,Computer Science & Engineering,C,"""91.8""",90.7
97,Beth Griffin,1,1994-12-09,29,64.0,115,2016,Brown University,Computer Science & Engineering,C,"""84.0""",91.6
98,Carolyn Thornton,1,1997-12-03,26,60.0,130,2019,St. Joseph's University,Theology,,"""79.8""",84.2
99,Zachary Lang,0,1993-07-05,30,68.0,155,2015,Marquette University,Computer Science & Engineering,Fail,"""88.1""",73.3
100,Robert Johnson,2,1995-10-21,28,68.0,170,2017,University of Illinois,ACMS,,"""76.8""",80.9
101,David Scott,0,1993-04-06,30,68.0,170,2015,Holy Cross College,Computer Science & Engineering,C,"""76.4""",68.2
102,Samuel Moore,0,1993-03-14,30,69.0,170,2015,University of Wisconsin,Computer Science & Engineering,B,"""90.2""",94.0
103,Michele Newman,2,2003-10-24,20,65.0,115,2025,Harvard University,Electrical Engineering,B,"""73.7""",82.9
104,Lauren Carr,2,1994-06-13,29,72.0,150,2016,Stanford University,Electrical Engineering,,"""78.3""",79.6
105,Sandra Orozco,1,1999-12-25,24,62.0,105,2021,Purdue,Theology,,"""88.2""",84.6
106,Amy Deleon,2,1993-05-09,30,66.0,140,2015,University of Wisconsin,Theology,,"""81.9""",78.2
107,Cassandra Franklin,2,1992-11-06,31,165.0,115,2014,UMBC,Computer Science & Engineering,Pass,"""84.7""",79.1
108,Joshua Russo,0,2002-12-02,21,67.0,160,2024,Brown University,Computer Science & Engineering,C,"""84.0""",93.7
109,Sally Cervantes,1,1994-11-27,29,66.0,110,2016,University of Alabama,Theology,,"""66.0""",91.6
110,Theresa Lara,1,1999-07-14,24,65.0,135,2021,Duke University,Math,F,"""98.8""",86.0
111,William Cox,2,2003-02-12,20,68.0,170,2025,Holy Cross College,Computer Science & Engineering,F,"""91.8""",73.3
112,Troy Contreras,0,1996-02-11,27,68.0,150,2018,St. Joseph's University,Computer Science & Engineering,Fail,"""100""",79.0
113,Sierra Alexander,2,1993-11-20,30,70.0,150,2015,University of Wisconsin,Computer Science & Engineering,B,"""83.4""",88.7
114,Russell Garcia,0,2003-04-20,20,69.0,160,2025,UMBC,Computer Science & Engineering,Pass,"""84.8""",91.2
115,Nicole Jones,2,2001-08-24,22,69.0,145,2023,USC,Computer Science & Engineering,A,"""79.7""",98.2
116,Andrea Aguirre,2,1999-10-18,24,67.0,125,2021,University of Nebraska,Math,,"""95.4""",86.8
117,Kirk Ward,0,1998-11-27,25,,175,2020,UCLA,Computer Science & Engineering,F,"""70.9""",75.1
118,Brian Williams,2,1998-04-10,25,66.0,125,2020,Purdue,Math,,"""75.8""",84.3
119,Alyssa Quinn,2,2003-07-10,20,65.0,145,2025,University of Notre Dame,Computer Science & Engineering,C,"""86.8""",89.3
120,Sarah Gamble,2,1999-09-10,24,172.0,140,2021,UCLA,Computer Science & Engineering,B,"""89.4""",96.6
121,Elizabeth Cross,2,1995-06-24,28,175.0,165,2017,University of Illinois,Computer Science & Engineering,F,"""87.0""",77.3
122,Jason Ewing,0,2000-05-20,23,68.0,140,2022,St. Joseph's University,ACMS,Pass,"""82.5""",78.5
123,Jennifer Hurley,2,2000-12-13,23,63.0,105,2022,University of Florida,Computer Science & Engineering,D,"""85.5""",86.6
124,Bethany Cruz,1,1997-02-11,26,64.0,130,2019,UCLA,Computer Science & Engineering,C,"""79.9""",87.5
125,Matthew Kelly,2,1993-05-20,30,69.0,150,2015,MIT,Computer Science & Engineering,C,"""76.0""",98.0
126,Mary Thomas,1,1997-01-21,26,62.0,120,2019,Marquette University,Theology,,"""84.1""",87.0
127,Hannah Barton,1,1999-05-02,24,66.0,115,2021,St. Joseph's University,Computer Science & Engineering,Pass,"""79.7""",81.7
128,Erin Barber,1,1993-03-16,30,64.0,125,2015,University of Florida,ACMS,,"""75.4""",90.5
129,Randall Sanders,0,2002-09-12,21,66.0,135,2024,Holy Cross College,Computer Science & Engineering,C,"""74.3""",83.8
130,Kimberly Washington,2,1999-12-27,24,,180,2021,Stanford University,Computer Science & Engineering,B,"""99.0""",86.6
131,Deborah Brown,1,2002-04-30,21,62.0,120,2024,Purdue,Computer Science & Engineering,B,"""80.9""",78.3
132,James Torres,0,1995-11-29,28,,180,2017,Harvard University,Computer Science & Engineering,D,"""77.5""",95.4
133,Kimberly Prince,1,2003-08-14,20,61.0,105,2025,University of Nebraska,Computer Science & Engineering,Pass,"""88.1""",97.1
134,Mandy Jones,2,1994-06-13,29,69.0,155,2016,MIT,Computer Science & Engineering,C,"""90.6""",91.5
135,Kimberly Carroll,2,1998-10-25,25,69.0,150,2020,Brown University,Computer Science & Engineering,C,"""95.5""",86.8
136,Kevin Owens,0,1997-08-04,26,67.0,160,2019,University of Florida,Computer Science & Engineering,B,"""60.6""",77.9
137,Kaitlyn Wright,1,1994-05-20,29,66.0,130,2016,Marquette University,Theology,,"""85.0""",80.9
138,Stacey Dominguez,1,1995-05-07,28,65.0,110,2017,University of Alabama,Computer Science & Engineering,B,"""76.7""",86.7
139,Alexa Hamilton,2,2000-03-01,23,69.0,160,2022,University of Alabama,Theology,B,"""85.1""",88.2
140,Lauren Daniel,1,1995-01-20,28,64.0,120,2017,Marquette University,ACMS,,"""75.1""",86.0
141,Robert Martin,2,1992-07-29,31,63.0,120,2014,University of Notre Dame,Computer Science & Engineering,A,"""84.9""",79.5
142,Brandon King,0,1999-01-08,24,70.0,155,2021,UCLA,Computer Science & Engineering,A,"""80.7""",80.9
143,Collin Chung,2,1992-03-05,31,177.0,170,2014,Harvard University,Computer Science & Engineering,D,"""85.6""",92.0
144,Anthony Hawkins,0,1994-04-11,29,66.0,140,2016,Brown University,Theology,,"""82.1""",100.0
145,Martin Hines,2,2002-03-24,21,66.0,155,2024,UCLA,Theology,,"""99.7""",91.0
146,Mary Stewart,1,2003-04-27,20,62.0,110,2025,UMBC,ACMS,Pass,"""69.0""",85.4
147,Mary Kerr,1,1993-11-21,30,63.0,135,2015,UCLA,Theology,,"""73.1""",91.7
148,Dustin Evans,0,1999-01-29,24,71.0,160,2021,University of Wisconsin,Computer Science & Engineering,A,"""94.8""",85.9
149,Janice Mcpherson,1,1999-09-28,24,60.0,120,2021,University of Wisconsin,Theology,,"""83.6""",91.5
150,Daniel Mcguire,0,1996-11-27,27,70.0,175,2018,Stanford University,Electrical Engineering,,"""77.8""",81.7
151,John Mcclain,2,1997-08-03,26,60.0,105,2019,Michigan State University,Computer Science & Engineering,D,"""89.0""",72.1
152,Sara Morris,1,1996-04-22,27,61.0,110,2018,Purdue,Computer Science & Engineering,F,"""87.9""",74.7
153,Allison Myers,2,2001-02-14,22,64.0,140,2023,University of Notre Dame,Computer Science & Engineering,C,"""100""",92.7
154,Danielle Norman,1,2002-08-10,21,67.0,120,2024,University of Wisconsin,Computer Science & Engineering,D,"""76.3""",71.6
155,Cindy Duncan,1,1997-04-15,26,63.0,120,2019,Michigan State University,Theology,,"""87.4""",80.6
156,Katherine Sullivan,1,2002-04-16,21,64.0,115,2024,Stanford University,Computer Science & Engineering,A,"""85.1""",93.2
157,Gerald Daniels,0,1995-03-25,28,64.0,130,2017,Duke University,Computer Science & Engineering,F,"""86.4""",82.3
158,Billy Rodriguez,2,2001-10-02,22,62.0,125,2023,University of Florida,Computer Science & Engineering,A,"""90.0""",88.1
159,Morgan Holt,2,1998-01-28,25,165.0,115,2020,Marquette University,Computer Science & Engineering,Fail,"""76.3""",71.2
160,Levi Hunt,0,1995-12-21,28,,175,2017,University of Notre Dame,Computer Science & Engineering,C,"""96.8""",78.0
161,Sarah Hernandez,2,2002-12-08,21,66.0,150,2024,University of Illinois,Theology,,"""87.4""",82.3
162,James Stone,2,1995-10-09,28,67.0,160,2017,University of Alabama,Computer Science & Engineering,F,"""87.9""",79.8
163,Susan Brown,2,2002-04-03,21,175.0,145,2024,USC,Computer Science & Engineering,A,"""96.6""",77.7
164,Susan Lewis,2,1998-12-16,25,70.0,145,2020,Purdue,Computer Science & Engineering,B,"""76.7""",72.9
165,Vanessa Reed,1,1996-12-09,27,68.0,120,2018,UMBC,Computer Science & Engineering,Pass,"""88.5""",79.8
166,Carrie Watson,1,1994-02-18,29,63.0,120,2016,UCLA,Computer Science & Engineering,B,"""83.8""",89.1
167,Sean Russo,0,2000-12-08,23,69.0,155,2022,Holy Cross College,Computer Science & Engineering,B,"""86.2""",79.9
168,Mariah Zimmerman,2,2003-12-22,20,69.0,160,2025,Michigan State University,ACMS,,"""83.1""",92.8
169,Angela Morton,1,2002-05-24,21,65.0,110,2024,University of Florida,Computer Science & Engineering,C,"""80.6""",86.2
170,Kyle Rodriguez,0,1993-12-18,30,66.0,165,2015,St. Joseph's University,Computer Science & Engineering,Pass,"""93.3""",91.0
171,Kimberly Smith,2,1997-11-03,26,67.0,145,2019,Michigan State University,Math,,"""80.6""",91.7
172,Ashley Figueroa,1,2002-01-07,21,64.0,130,2024,Harvard University,Theology,D,"""87.7""",100.0
173,Dylan Jimenez,0,1998-12-16,25,71.0,155,2020,UMBC,Computer Science & Engineering,Pass,"""79.0""",77.1
174,April Stevenson,1,1999-06-13,24,66.0,115,2021,University of Florida,Computer Science & Engineering,A,"""100""",90.3
175,Gordon Thompson,0,1992-07-10,31,64.0,160,2014,University of Alabama,ACMS,,"""83.4""",83.1
176,William Flores,2,1996-03-30,27,172.0,145,2018,Marquette University,Theology,,"""87.6""",93.6
177,Jill Jimenez,1,1998-08-21,25,63.0,135,2020,University of Illinois,Computer Science & Engineering,B,"""85.7""",86.9
178,Eric Vang,2,1993-10-04,30,65.0,125,2015,University of Nebraska,Computer Science & Engineering,Fail,"""83.4""",79.9
179,Shelley Curry,1,2002-01-31,21,59.0,95,2024,University of Florida,Computer Science & Engineering,D,"""87.5""",100.0
180,Lisa Patterson,1,1997-12-21,26,60.0,115,2019,University of Wisconsin,ACMS,,"""96.8""",81.8
181,Stephen Mathews,2,1997-02-05,26,,185,2019,UMBC,Computer Science & Engineering,Pass,"""79.0""",91.9
182,Kenneth Morton,0,1996-07-02,27,66.0,140,2018,St. Joseph's University,Math,,"""76.4""",98.2
183,David Freeman,2,2002-10-19,21,172.0,145,2024,Holy Cross College,Computer Science & Engineering,B,"""96.4""",89.7
184,Linda Campbell,1,2001-06-09,22,64.0,125,2023,Duke University,ACMS,,"""95.5""",80.4
185,Cesar Glenn,0,1996-07-02,27,68.0,170,2018,Stanford University,Computer Science & Engineering,C,"""88.7""",84.4
186,Andrew Collins,0,1996-08-07,27,69.0,160,2018,UMBC,Computer Science & Engineering,Pass,"""82.7""",91.5
187,Michael Jones,0,1997-08-31,26,67.0,140,2019,MIT,Computer Science & Engineering,A,"""80.5""",84.0
188,Stephen Walker,0,1999-02-20,24,69.0,155,2021,University of Notre Dame,Computer Science & Engineering,A,"""75.2""",84.4
189,Nathan Owens,2,1992-01-26,31,68.0,150,2014,Purdue,Computer Science & Engineering,A,"""84.4""",91.7
190,William Cohen,0,1996-09-14,27,69.0,155,2018,Stanford University,ACMS,,"""86.9""",84.0
191,Steven Lopez,0,2001-04-21,22,,155,2023,Harvard University,Computer Science & Engineering,C,"""83.2""",87.9
192,Sherry Smith,1,2001-11-29,22,60.0,130,2023,Purdue,Computer Science & Engineering,F,"""93.6""",82.7
193,Cheryl Nguyen,1,1994-07-10,29,64.0,105,2016,MIT,ACMS,B,"""71.3""",91.0
194,David Wood,0,1999-04-18,24,71.0,160,2021,USC,Computer Science & Engineering,D,"""87.4""",99.4
195,Heather Higgins,1,2002-12-10,21,65.0,130,2024,UCLA,Computer Science & Engineering,B,"""89.0""",64.4
196,Adam Wright,2,2000-06-05,23,180.0,180,2022,University of Michigan (boo),Computer Science & Engineering,A,"""81.2""",88.1
197,Katherine Mathis,1,1996-01-11,27,65.0,135,2018,UMBC,Theology,Pass,"""97.6""",89.6
198,Emma Acosta,1,2001-09-01,22,64.0,130,2023,UCLA,Math,,"""89.3""",85.1
199,David Stevens,2,1998-07-27,25,71.0,160,2020,USC,Computer Science & Engineering,D,"""76.5""",88.2
200,Michael Green,0,1994-03-14,29,69.0,170,2016,Duke University,Computer Science & Engineering,C,"""79.3""",85.7
201,Tanya Daugherty,1,2002-05-16,21,63.0,135,2024,UCLA,Computer Science & Engineering,F,"""85.8""",85.4
202,Vincent Schroeder,2,1998-06-25,25,64.0,135,2020,University of Florida,ACMS,,"""81.2""",84.7
203,Stacy Schmidt,1,1998-01-06,25,67.0,125,2020,Brown University,Theology,,"""93.5""",88.0
204,Anne Miller,2,1992-05-09,31,167.0,140,2014,University of Florida,Computer Science & Engineering,F,"""89.8""",91.2
205,Joseph Clark,0,2000-05-05,23,63.0,150,2022,USC,Math,,"""79.0""",92.2
206,Jason Jones,0,1999-06-28,24,69.0,165,2021,University of Alabama,Computer Science & Engineering,A,"""77.9""",75.6
207,Denise Carr,1,1999-01-16,24,63.0,110,2021,Michigan State University,Theology,B,"""88.4""",94.7
208,Joel Le,2,1999-09-05,24,177.0,155,2021,Stanford University,Computer Science & Engineering,F,"""82.6""",66.8
209,Corey Church,0,1995-03-26,28,67.0,170,2017,Michigan State University,Computer Science & Engineering,B,"""85.7""",92.7
210,Thomas White,0,1993-08-04,30,,180,2015,Brown University,Math,,"""77.8""",80.4
211,Ashley Wood,1,2001-03-31,22,67.0,125,2023,University of Notre Dame,Computer Science & Engineering,D,"""73.1""",76.8
212,Alexander Mccarthy,2,2003-05-06,20,65.0,150,2025,University of Wisconsin,Computer Science & Engineering,B,"""94.6""",88.2
213,Heather Miles,2,2000-09-16,23,68.0,140,2022,University of Notre Dame,Theology,,"""90.8""",75.8
214,Jason Lambert,0,2000-09-21,23,69.0,170,2022,Brown University,Computer Science & Engineering,D,"""71.5""",92.1
215,Joseph Cabrera,0,1996-12-13,27,69.0,165,2018,Duke University,Computer Science & Engineering,B,"""85.4""",65.2
216,Alexander Clark,0,2002-07-01,21,66.0,135,2024,University of Florida,Computer Science & Engineering,A,"""85.4""",81.2
217,Laura Bauer,1,1999-11-21,24,63.0,105,2021,Michigan State University,Theology,,"""80.2""",90.2
218,Teresa Smith,1,2000-06-11,23,60.0,115,2022,St. Joseph's University,Computer Science & Engineering,Pass,"""88.0""",78.6
219,Jessica Gonzalez,1,1997-09-20,26,66.0,115,2019,Purdue,Computer Science & Engineering,A,"""90.8""",73.1
220,Eric Cooley,0,1993-10-18,30,68.0,165,2015,Duke University,Math,,"""69.5""",91.1
221,Christina Adams,2,1994-03-09,29,170.0,155,2016,MIT,Math,,"""88.8""",90.7
222,Russell Myers,2,1998-05-06,25,70.0,160,2020,University of Florida,ACMS,,"""88.7""",75.1
223,Jennifer Brown,1,1992-03-05,31,65.0,130,2014,Brown University,Computer Science & Engineering,B,"""79.4""",91.1
224,Paul Martinez,0,1992-05-21,31,69.0,160,2014,University of Notre Dame,Computer Science & Engineering,C,"""85.5""",90.5
225,David Wise,0,1997-10-31,26,70.0,145,2019,Michigan State University,Math,,"""90.5""",85.9
226,Cynthia Madden,1,1994-06-14,29,66.0,130,2016,Marquette University,Computer Science & Engineering,Pass,"""84.9""",80.3
227,Cathy Long,1,1993-04-23,30,65.0,115,2015,Harvard University,Theology,,"""81.4""",85.6
228,Kelly Rosario,2,2003-03-15,20,68.0,140,2025,MIT,Computer Science & Engineering,D,"""68.0""",84.0
229,Pamela Miller,2,1993-02-08,30,67.0,165,2015,Purdue,Computer Science & Engineering,B,"""86.0""",83.0
230,Joshua Walker,2,1999-09-11,24,63.0,120,2021,University of Florida,Electrical Engineering,,"""86.1""",83.4
231,Laura Kim,2,2003-11-26,20,63.0,120,2025,Brown University,ACMS,,"""93.9""",79.5
232,Jordan Bird,1,2002-04-08,21,64.0,120,2024,University of Notre Dame,Computer Science & Engineering,F,"""85.4""",88.6
233,Robert Tran,0,2000-07-14,23,70.0,150,2022,University of Florida,Computer Science & Engineering,C,"""83.9""",87.4
234,Keith Montes,2,2003-10-26,20,69.0,170,2025,University of Florida,Computer Science & Engineering,B,"""86.5""",79.5
235,Christine Butler,2,1993-03-08,30,69.0,170,2015,UMBC,Computer Science & Engineering,Fail,"""88.1""",76.3
